,track_id,artists,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,sim
189,3GZD6HmiNUhxXYf8Gch723,['Frank_Ocean'],Lost,85,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,soul,0.7037727280474604
751,6Nle9hKrkL1wQpwNfEkxjh,['Frank_Ocean'],Chanel,79,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,soul,0.6901126091800195
499,4osgfFTICMkcGbbigdsa53,['Frank_Ocean'],Novacane,81,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,soul,0.688019393247368
753,2LMkwUfqC6S6s6qDVlEuzV,['Frank_Ocean'],White Ferrari,79,0.501,0.0958,0,-15.605,1,0.0433,0.77,0.0,0.298,0.204,108.741,soul,0.6826224250472845
2052,4QhWbupniDd44EDtnh2bFJ,['Frank_Ocean'],Pyramids,73,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,soul,0.6806649585481447
1270,5GUYJTQap5F3RDQiCOJhrS,['Frank_Ocean'],Self Control,76,0.581,0.21,8,-10.426,1,0.0321,0.768,0.0,0.369,0.452,80.099,soul,0.6798710359929491
896,7DfFc7a6Rwfi3YQMRbDMau,['Frank_Ocean'],Thinkin Bout You,78,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,soul,0.6798564554248127
279,40iJIUlhi6renaREYGeIDS,"['Drake', 'Travis_Scott']",Fair Trade (with Travis Scott),83,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,hip-hop,0.6701226440690679
191,31AOj9sFz2gM0O3hMARRBx,['R.E.M.'],Losing My Religion,84,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,alt-rock,0.6700223133304464
3509,35xSkNIXi504fcEwz9USRB,['Frank_Ocean'],Solo,69,0.469,0.289,5,-10.625,0,0.0366,0.85,2.48e-06,0.161,0.258,133.805,soul,0.6684122002770773
2348,19YKaevk2bce4odJkP5L22,['Frank_Ocean'],Nikes,72,0.633,0.395,8,-9.638,1,0.0857,0.692,0.000222,0.108,0.123,138.023,soul,0.6680551176159202
3514,4YZbVct8l9MnAVIROnLQdx,['Frank_Ocean'],Forrest Gump,69,0.701,0.417,6,-7.818,0,0.0329,0.0888,0.000648,0.375,0.186,95.003,soul,0.66257430800294
368,3eekarcy7kvN4yt5ZFzltW,['Travis_Scott'],HIGHEST IN THE ROOM,82,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,hip-hop,0.6573455790465825
5730,1VZLEW5ZfcAbKZ94XQiSZF,['Frank_Ocean'],Close To You,65,0.855,0.663,5,-8.401,0,0.2,0.194,0.0013,0.146,0.815,77.978,soul,0.655353248330265
280,2xLMifQCjDGFmkHkpNLD9h,['Travis_Scott'],SICKO MODE,83,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,hip-hop,0.6545387363531991
1196,6nzXkCBOhb2mxctNihOqbb,['M.I.A.'],Bad Girls,76,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,indie-pop,0.6532766338980783
3512,3CgZCQyuyxHRMWB9BTwmni,['Frank_Ocean'],Swim Good,69,0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,soul,0.6528444875460445
5728,4xR3MAscflQ262kMeiKshQ,['Frank_Ocean'],Skyline To,65,0.43,0.296,3,-13.645,1,0.0583,0.882,6.21e-06,0.104,0.386,129.048,soul,0.639555132274766
459,5uEYRdEIh9Bo4fpjDd4Na9,"['Travis_Scott', 'HVME']",Goosebumps - Remix,81,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,hip-hop,0.6373078624896193
6397,2JUqYobT8NvARdPmc4ES2x,['Frank_Ocean'],Good Guy,64,0.525,0.131,0,-12.787,1,0.458,0.983,0.00433,0.12,0.811,107.007,soul,0.6361039090666987
998,1ixbwbeBi5ufN4noUKmW5a,['M.I.A.'],Paper Planes,77,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,indie-pop,0.6343830703040276
1,2tTmW7RDtMQtBk7m2rYeSw,"['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",99,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,hip-hop,0.6342856032569077
2566,5n8Aro6j1bEGIy7Tpo7FV7,['N.W.A.'],Fuck Tha Police,71,0.859,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691,hardcore,0.6333667334565877
23,3F5CgOj3wFlRv51JsHbxhe,"['Drake', '21_Savage']",Jimmy Cooks (feat. 21 Savage),91,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,hip-hop,0.6321751967405157
154,1zi7xx7UVEFkmKfv06H8x0,"['Drake', 'Wizkid', 'Kyla']",One Dance,85,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,hip-hop,0.6289575251471381
1292,6PypGyiu0Y2lCDBN1XZEnP,['R.E.M.'],Everybody Hurts,75,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,alt-rock,0.6286962574022085
218,6DCZcSspjsKoFjzjrWoCdn,['Drake'],God's Plan,84,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,hip-hop,0.6279939754353743
273,0VgkVdmE4gld66l8iyGjgx,['Future'],Mask Off,83,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,hip-hop,0.6268269159256985
2220,6KIKRz9eSTXdNsGUnomdtW,['N.W.A.'],Straight Outta Compton,72,0.834,0.878,8,-9.484,1,0.15,0.0461,0.0,0.334,0.418,102.848,hardcore,0.625211856007132
95,0e8nrvls4Qqv5Rfa2UhqmO,['Lil_Nas_X'],THATS WHAT I WANT,87,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,hip-hop,0.6251978591286251
2468,7me5d5XmtCCfbDk3SsyXqM,['D.O.D'],Every Step,71,0.662,0.872,0,-4.874,0,0.0318,0.0729,0.016,0.156,0.372,121.989,deep-house,0.6248953980505478
46,5HCyWlXZPP0y6Gqq8TgA20,"['The_Kid_LAROI', 'Justin_Bieber']",STAY (with Justin Bieber),89,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,hip-hop,0.6233569987924369
47,27ZZdyTSQWI7Cug2d2PkqV,['Armani_White'],BILLIE EILISH.,89,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,hip-hop,0.6233569987924369
2644,0UrWr7Jnu1heq1o99ZwUd0,['P.O.D.'],Youth of the Nation,71,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,metal,0.622071619581868
31,38T0tPVZHcPZyhtOcCP7pF,['Lil_Nas_X'],STAR WALKIN' (League of Legends Worlds Anthem),90,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,hip-hop,0.6188382103152491
97,4cacyP5c3PMlfnyjpg13xW,['Yung_Gravy'],Betty (Get Money),87,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,hip-hop,0.6179447144744312
8549,1bkvGbgK4HU8B7Ue4k7O7I,['G.E.M.'],光年之外 (電影 《Passengers》 中國區主題曲),61,0.539,0.668,1,-6.825,0,0.0825,0.4,0.0,0.0864,0.238,175.867,mandopop,0.6164220363289535
96,3yfqSUWxFvZELEM4PmlwIR,['Eminem'],The Real Slim Shady,87,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip-hop,0.6161314283108826
120,5PjdY0CKGZdEuoNab3yDmX,"['The_Kid_LAROI', 'Justin_Bieber']",STAY (with Justin Bieber),86,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,hip-hop,0.6151771426465587
121,4xkOaSrkexMciUUogZKVTS,"['Eminem', 'Nate_Dogg']",Till I Collapse,86,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,hip-hop,0.6151771426465587
48,1PckUlxKqWQs3RlWXVBLw3,['Lizzo'],About Damn Time,89,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,hip-hop,0.6143645020181812
270,1aL9518P5G72N92b48tuKw,['AP_Dhillon'],Summer High,83,0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,hip-hop,0.6139945940289305
67,68Dni7IE4VyPkTOH9mRWHr,['J._Cole'],No Role Modelz,88,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,hip-hop,0.611641725164696
4654,55vxJOfCXlkiFzELyNTYQm,['D.O.D'],All Mine,66,0.777,0.746,6,-5.715,0,0.0382,0.0139,0.0805,0.0973,0.263,121.99,deep-house,0.6109820712183841
123,4woTEX1wYOTGDqNXuavlRC,"['Eminem', 'Dina_Rae']",Superman,86,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,hip-hop,0.6097150771539727
66,7lQ8MOhq6IN2w8EYcFNSUk,['Eminem'],Without Me,88,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,hip-hop,0.6080299464368063
1793,0725YWm6Z0TpZ6wrNk64Eb,"['Frank_Ocean', 'Earl_Sweatshirt']",Super Rich Kids,74,0.739,0.419,3,-8.241,0,0.0854,0.219,0.0,0.196,0.58,60.493,soul,0.606501707912556
119,27NovPIUIRrOZoCHxABJwK,"['Lil_Nas_X', 'Jack_Harlow']",INDUSTRY BABY (feat. Jack Harlow),86,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,hip-hop,0.6060737001589156
155,3UmaczJpikHgJFyBTAJVoz,"['Eminem', 'Dido']",Stan,85,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip-hop,0.6050555942142789
122,1rDQ4oMwGJI7B4tovsBOxc,['Jack_Harlow'],First Class,86,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,hip-hop,0.604253011661387
371,0Fs9cdPDhptWEDJmiCbkEW,"['J._Cole', 'Cults', 'Amber_Coffman']",She Knows (feat. Amber Coffman & Cults),82,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,hip-hop,0.603686105084048
6092,1pOIpxfrQ8AszXZdKR3aH3,['N.W.A.'],Gangsta Gangsta,64,0.894,0.698,6,-8.264,0,0.275,0.0279,3.56e-06,0.329,0.695,98.104,hardcore,0.6036532343532938
272,1SC5rEoYDGUK4NfG82494W,['Lil_Nas_X'],MONTERO (Call Me By Your Name),83,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,hip-hop,0.6029371006677664
366,29m79w9xPMH4YCD6r8JSmV,"['AP_Dhillon', 'Gurinder_Gill', 'Intense']",Excuses,82,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984,hip-hop,0.6018357783956846
271,08Isz2ETWSBhvIl8UpKYsp,['Shubh'],No Love,83,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,hip-hop,0.6010941851075723
278,7iL6o9tox1zgHpKUfh9vuC,['50_Cent'],In Da Club,83,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,hip-hop,0.5992512695473783
462,1fewSx2d5KIZ04wsooEBOz,"['Metro_Boomin', 'Gunna']",Space Cadet (feat. Gunna),81,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,hip-hop,0.5988480422037339
274,7FIWs0pqAYbP91WWM0vlTQ,"['Eminem', 'Juice_WRLD']",Godzilla (feat. Juice WRLD),83,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,hip-hop,0.5974083539871843
4907,2shyarF21wZvWew00TdaP3,['D.O.'],Rose - English Version,66,0.616,0.395,0,-3.167,1,0.0607,0.379,0.0,0.0871,0.631,74.422,k-pop,0.5962787154045791
5434,3vQir0wkIdLGq3Lc4V6J2y,['N.W.A.'],Chin Check,65,0.906,0.775,2,-5.775,1,0.268,0.0831,2.74e-05,0.15,0.838,100.054,hardcore,0.5955065237727272
2349,1fOkmYW3ZFkkjIdOZSf596,"['Frank_Ocean', 'André_3000']",Pink Matter,72,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,soul,0.5946266277707875
365,42TMa2hgBNjte4uV7jNCnQ,"['Shubh', 'Ikky']",Baller,82,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219,hip-hop,0.5944344716422317
460,7Ie9W94M7OjPoZVV216Xus,['Eminem'],Not Afraid,81,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,hip-hop,0.5914170962834311
458,5Z9KJZvQzH6PFmb8SNkxuk,"['Lil_Nas_X', 'Jack_Harlow']",INDUSTRY BABY (feat. Jack Harlow),81,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,hip-hop,0.5914170962834311
705,67BtfxlNbhBmCDR2L2l8qd,['Lil_Nas_X'],MONTERO (Call Me By Your Name),79,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,hip-hop,0.5908676694212807
6479,7p30D2KjK2XW7YUvI6nH3o,['7!!'],オレンジ,63,0.348,0.492,7,-4.844,1,0.0324,0.171,0.0,0.116,0.3,171.637,anime,0.5908024548498666
276,15JINEqzVMv3SvJTAXAKED,"['Eminem', 'Rihanna']",Love The Way You Lie,83,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,hip-hop,0.5900366917464082
704,3Ofmpyhv5UAQ70mENzB277,['Masked_Wolf'],Astronaut In The Ocean,79,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,hip-hop,0.5889951233880969
703,6ZYxNjuAU9Vy3VtF6W1dtE,['Shubh'],We Rollin,79,0.82,0.504,4,-9.113,0,0.141,0.261,7e-06,0.104,0.275,85.016,hip-hop,0.5889951233880969
367,3B54sVLJ402zGa6Xm4YGNe,"['French_Montana', 'Swae_Lee']",Unforgettable,82,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,hip-hop,0.5888834915771419
572,5DqdesEfbRyOlSS3Tf6c29,['Ali_Gatie'],It's You,80,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,hip-hop,0.5883557679734228
987,0F7FA14euOIX8KcbEturGH,['Lil_Nas_X'],Old Town Road,77,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,hip-hop,0.5883401961065072
9090,0AQ1twwDGVlIVpcHDkGkXD,['D.O.D'],Sleepless,60,0.453,0.717,6,-5.362,0,0.0468,0.0335,0.871,0.151,0.644,126.053,deep-house,0.5877965477749522
457,7GNRUsU3M4XNDDB9xle5Dz,"['PSY', 'SUGA']",That That (prod. & feat. SUGA of BTS),81,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,hip-hop,0.5877016233232796
461,1r8ZCjfrQxoy2wVaBUbpwg,['The_Kid_LAROI'],Thousand Miles,81,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,hip-hop,0.5877016233232796
1656,2uThc9fZx2BEL3t6uuRMO1,"['aleemrk', 'Umair']",Cold Hours,74,0.737,0.613,1,-7.304,0,0.358,0.316,1.26e-06,0.343,0.493,170.14,hip-hop,0.5862246003872345
985,3UhmuWcFaLS3AO3kI9ynQ2,"['AP_Dhillon', 'Shinda_Kahlon', 'Gurinder_Gill', 'Gminxr']",Insane,77,0.796,0.572,8,-7.03,0,0.0545,0.416,2.55e-05,0.0975,0.304,98.967,hip-hop,0.5845655325751924
456,0yCWDaAgOtg6TKlNCg9rwA,['King'],Tu Aake Dekhle,81,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,hip-hop,0.5839861503631282
1187,5pcmtf1lwrMqmAWWm248fY,"['AP_Dhillon', 'Gurinder_Gill']",DESIRES,76,0.863,0.387,5,-10.057,0,0.256,0.365,0.00238,0.06,0.39,100.013,hip-hop,0.5832407430717071
838,5W7DOVGQLTigu09afW7QMT,['Sidhu_Moose_Wala'],295,78,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,hip-hop,0.582099436000655
1185,58f4twRnbZOOVUhMUpplJ4,"['AP_Dhillon', 'Gminxr', 'Gurinder_Gill', 'Shinda_Kahlon']",Brown Munde,76,0.854,0.611,8,-6.26,0,0.0864,0.223,0.0,0.119,0.417,100.024,hip-hop,0.5813460314458004
573,27OeeYzk6klgBh83TSvGMA,['The_Kid_LAROI'],WITHOUT YOU,80,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,hip-hop,0.5808951942119988
7713,4nivAUgvOrWdkv44kjAlxs,['G.E.M.'],天空沒有極限,62,0.539,0.742,11,-4.415,1,0.0393,0.188,0.000176,0.131,0.182,133.886,mandopop,0.5807408912117408
7709,55d0jw269HE9pbOt5ntCo8,['G.E.M.'],多遠都要在一起,62,0.51,0.53,3,-6.532,1,0.0312,0.319,0.0,0.102,0.136,135.726,mandopop,0.5807408912117408
707,5k38wzpLb15YgncyWdTZE4,"['G-Eazy', 'Halsey']",Him & I (with Halsey),79,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,hip-hop,0.5796323932221782
706,2YpeDb67231RjR0MgVLzsG,"['Lil_Nas_X', 'Billy_Ray_Cyrus']",Old Town Road - Remix,79,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,hip-hop,0.5796323932221782
708,1v7L65Lzy0j0vdpRjJewt1,['Eminem'],"Lose Yourself - From ""8 Mile"" Soundtrack",79,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip-hop,0.5796323932221782
2223,32FVH23yFXr8Z0sfjRw4It,['AP_Dhillon'],Wo Noor,72,0.761,0.554,1,-8.119,0,0.0854,0.193,0.00844,0.0802,0.555,92.52,hip-hop,0.5795463267685653
986,7B4uYqxTpTOS1sgxFB9Ann,['Sidhu_Moose_Wala'],The Last Ride,77,0.792,0.647,10,-5.447,0,0.334,0.0299,0.0,0.119,0.638,89.029,hip-hop,0.5789035372782201
9310,6phmKeRhJUsiSBJgMkgjg8,['N.W.A.'],Alwayz Into Somethin',60,0.709,0.874,7,-4.522,1,0.193,0.0114,0.0,0.213,0.832,88.546,hardcore,0.5785319333913104
9453,2IfSPLPDW6RGosdB5huwAA,['G.E.M.'],泡沫,60,0.551,0.403,4,-8.391,1,0.0307,0.237,0.0,0.165,0.162,136.02,mandopop,0.5785319333913104
839,6or1bKJiZ06IlK0vFvY75k,['Eminem'],Rap God,78,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,hip-hop,0.5783395506381874
1423,3wz2vWhYnnBoFmgMkqtzLy,"['Chani_Nattan', 'Inderpal_Moga']",Daku,75,0.847,0.558,8,-5.855,0,0.0663,0.325,0.0,0.135,0.495,98.062,hip-hop,0.5780803236751443
1184,2AilvPt1AQ8PixlCKqkjfj,['Shubh'],Elevated,76,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,hip-hop,0.577556608193987
1425,6TClJ8jXi3OBV7gcrU3jx5,"['AP_Dhillon', 'Gurinder_Gill']",TERE TE,75,0.692,0.488,7,-10.96,0,0.135,0.0508,0.0,0.154,0.299,171.9,hip-hop,0.5761782431155393
2572,7AsG1F1eMWd17RYan8M3Wm,"['AP_Dhillon', 'Shinda_Kahlon']",Dil Nu,71,0.811,0.655,1,-7.118,0,0.0353,0.0947,1.63e-06,0.068,0.925,117.979,hip-hop,0.576135419318345
2486,65ES1qwOB577ZnTkizMXJJ,"['Skrillex', 'Kendrick_Lamar']",HUMBLE. - SKRILLEX REMIX,71,0.901,0.934,11,-2.345,1,0.273,0.00794,7.68e-05,0.194,0.868,150.037,edm,0.5750337248391661
1660,3JkVYvxNoGf2HCWJo61462,"['Sidhu_Moose_Wala', 'Sunny_Malton']",Never Fold (feat. Sunny Malton),74,0.814,0.786,8,-5.178,0,0.232,0.069,0.0,0.0976,0.797,93.025,hip-hop,0.5747679794524398
1189,0BV0AYGLVlu2SdjN3J9twp,['Ghostemane'],Fed Up,76,0.849,0.758,8,-7.498,1,0.256,0.499,0.695,0.147,0.0684,115.058,hip-hop,0.5737671849421736
1930,2PcGqmKToUz0s65q1Acg7d,"['AP_Dhillon', 'Shinda_Kahlon', 'Gminxr']",SPACESHIP,73,0.69,0.683,5,-7.186,0,0.0968,0.076,0.000113,0.134,0.549,160.088,hip-hop,0.5733253553654128
